# # comment:                                                     FEFF 9.9.1  
# # Source:
# # Structure
# # Reduced
# # space
# # abc:
# # angles:
# # sites:
# # POT  SCF 100  7.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.212 Rnm= 1.298 K  shell
# # Pot 1 Z=64 Rmt= 1.613 Rnm= 1.702
# # Pot 2 Z=29 Rmt= 1.210 Rnm= 1.298
# # Pot 3 Z= 8 Rmt= 1.058 Rnm= 1.111
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.496E+00eV kf=2.114E+00 Vint=-1.736E+01eV Rs_int= 1.715
# FMS rfms= 9.0000
# # PATH  Rmax=-1.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#     0/   0 paths used
#  xsedge+ 50, used to normalize mu           2.4533E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9018.159     22.374   2.800  1.03677E+00  1.00809E+00  2.86794E-02
    9019.019     23.234   2.840  1.01580E+00  1.00757E+00  8.22884E-03
    9019.890     24.105   2.880  9.92715E-01  1.00698E+00 -1.42631E-02
    9020.774     24.989   2.920  9.67945E-01  1.00631E+00 -3.83672E-02
    9021.670     25.885   2.960  9.43053E-01  1.00562E+00 -6.25678E-02
    9022.579     26.794   3.000  9.20193E-01  1.00489E+00 -8.46966E-02
    9023.499     27.714   3.040  9.00787E-01  1.00412E+00 -1.03333E-01
    9024.432     28.647   3.080  8.84870E-01  1.00332E+00 -1.18449E-01
    9025.377     29.592   3.120  8.71565E-01  1.00253E+00 -1.30968E-01
    9026.334     30.549   3.160  8.59676E-01  1.00172E+00 -1.42046E-01
    9027.303     31.518   3.200  8.49067E-01  1.00091E+00 -1.51846E-01
    9028.284     32.499   3.240  8.40716E-01  1.00013E+00 -1.59415E-01
    9029.278     33.493   3.280  8.35797E-01  9.99377E-01 -1.63579E-01
    9030.284     34.499   3.320  8.35128E-01  9.98634E-01 -1.63505E-01
    9031.302     35.517   3.360  8.39054E-01  9.97924E-01 -1.58869E-01
    9032.332     36.547   3.400  8.47573E-01  9.97229E-01 -1.49655E-01
    9033.375     37.590   3.440  8.60234E-01  9.96594E-01 -1.36359E-01
    9034.429     38.644   3.480  8.76689E-01  9.95998E-01 -1.19309E-01
    9035.496     39.711   3.520  8.96340E-01  9.95444E-01 -9.91043E-02
    9036.575     40.790   3.560  9.18060E-01  9.94932E-01 -7.68715E-02
    9037.666     41.881   3.600  9.39998E-01  9.94462E-01 -5.44641E-02
    9038.769     42.985   3.640  9.59857E-01  9.94037E-01 -3.41795E-02
    9039.885     44.100   3.680  9.76101E-01  9.93678E-01 -1.75770E-02
    9041.013     45.228   3.720  9.88738E-01  9.93366E-01 -4.62877E-03
    9042.153     46.368   3.760  9.99371E-01  9.93123E-01  6.24843E-03
    9043.305     47.520   3.800  1.00975E+00  9.92927E-01  1.68200E-02
    9044.469     48.684   3.840  1.02075E+00  9.92776E-01  2.79783E-02
    9045.646     49.861   3.880  1.03241E+00  9.92692E-01  3.97177E-02
    9046.834     51.050   3.920  1.04422E+00  9.92654E-01  5.15634E-02
    9048.035     52.250   3.960  1.05573E+00  9.92659E-01  6.30706E-02
    9049.248     53.464   4.000  1.06645E+00  9.92709E-01  7.37402E-02
    9050.474     54.689   4.040  1.07551E+00  9.92825E-01  8.26877E-02
    9051.711     55.926   4.080  1.08149E+00  9.92986E-01  8.85084E-02
    9052.961     57.176   4.120  1.08289E+00  9.93190E-01  8.96999E-02
    9054.223     58.438   4.160  1.07914E+00  9.93434E-01  8.57101E-02
    9055.497     59.712   4.200  1.07092E+00  9.93741E-01  7.71821E-02
    9056.783     60.998   4.240  1.05977E+00  9.94066E-01  6.56998E-02
    9058.082     62.297   4.280  1.04777E+00  9.94428E-01  5.33383E-02
    9059.392     63.607   4.320  1.03689E+00  9.94826E-01  4.20639E-02
    9060.715     64.930   4.360  1.02842E+00  9.95259E-01  3.31605E-02
    9062.050     66.265   4.400  1.02264E+00  9.95704E-01  2.69374E-02
    9063.397     67.612   4.440  1.01934E+00  9.96182E-01  2.31547E-02
    9064.757     68.972   4.480  1.01815E+00  9.96690E-01  2.14575E-02
    9066.128     70.343   4.520  1.01910E+00  9.97207E-01  2.18982E-02
    9067.512     71.727   4.560  1.02267E+00  9.97728E-01  2.49401E-02
    9068.908     73.123   4.600  1.02922E+00  9.98275E-01  3.09428E-02
    9070.316     74.531   4.640  1.03842E+00  9.98802E-01  3.96161E-02
    9071.737     75.952   4.680  1.04894E+00  9.99352E-01  4.95913E-02
    9073.169     77.384   4.720  1.05843E+00  9.99904E-01  5.85307E-02
    9074.614     78.829   4.760  1.06419E+00  1.00046E+00  6.37387E-02
    9076.071     80.286   4.800  1.06395E+00  1.00100E+00  6.29446E-02
    9077.540     81.755   4.840  1.05663E+00  1.00155E+00  5.50835E-02
    9079.021     83.236   4.880  1.04305E+00  1.00206E+00  4.09867E-02
    9080.515     84.730   4.920  1.02586E+00  1.00257E+00  2.32899E-02
    9082.020     86.235   4.960  1.00847E+00  1.00307E+00  5.39631E-03
    9083.538     87.753   5.000  9.93814E-01  1.00353E+00 -9.72034E-03
    9085.068     89.283   5.040  9.83636E-01  1.00397E+00 -2.03298E-02
    9086.611     90.826   5.080  9.78307E-01  1.00439E+00 -2.60776E-02
    9088.165     92.380   5.120  9.77059E-01  1.00477E+00 -2.77112E-02
    9089.732     93.947   5.160  9.78408E-01  1.00514E+00 -2.67324E-02
    9091.311     95.526   5.200  9.80445E-01  1.00545E+00 -2.50057E-02
    9092.902     97.117   5.240  9.81315E-01  1.00574E+00 -2.44289E-02
    9094.505     98.720   5.280  9.79488E-01  1.00600E+00 -2.65105E-02
    9096.120    100.335   5.320  9.74218E-01  1.00621E+00 -3.19961E-02
    9097.748    101.963   5.360  9.65774E-01  1.00639E+00 -4.06142E-02
